year,month,day,data,median,LB,UB
2024,11,9,2.15655122443094,1.15655122443094,1.15655122443094,1.15655122443094
2024,11,16,2.30279905144307,1.85073335948067,0.00680378670149895,3.85090405112486
2024,11,23,2.39204714045659,2.38149759748347,0.613137962892493,4.18662038369787
2024,11,30,2.60175354262938,3.13586094929209,1.3542575142138,4.87076748236297
2024,12,7,3.88037593680784,4.16111904771452,2.47007361170757,5.80851372588502
2024,12,14,5.35952821995485,5.4077925319614,3.65666184258933,7.12263124693037
2024,12,21,6.64944087785348,6.71504569793037,4.82295102618802,8.52546882857028
2024,12,28,7.414135481782,7.79862382901924,5.83970153085539,9.67114521180204
2025,1,4,9.1699355141675,8.32550828581605,6.32010542800698,10.2099071653433
2025,1,11,7.59709380487012,8.0445144447427,5.8656857894618,10.3404345861854
2025,1,18,NaN,7.08122825200094,4.74221457128248,10.4210267217144
2025,1,25,NaN,5.79103485833428,3.2068873683717,10.9183401222278
