year,month,day,data,median,LB,UB
2024,7,27,6.70368565,6.70368565,6.70368565,6.70368565
2024,8,3,8.01274045749584,7.60475596181497,6.27704619971277,8.96409496609098
2024,8,10,8.20322621670055,8.41682183111643,7.23400867966466,9.63886512212006
2024,8,17,7.927740431,8.53082763243221,7.35023638158726,9.69172768541731
2024,8,24,8.18431923450702,8.21460377959956,6.96498998671202,9.37806564508445
2024,8,31,7.70101688569832,7.60620156402981,6.45676369225042,8.79539820822495
2024,9,7,7.357311266,6.88455434305364,5.7139238413585,7.95121535693967
2024,9,14,6.70516303450459,6.08139926255676,4.91427490054048,7.24056194058454
2024,9,21,5.27298623247471,5.31324159816263,4.12683242058879,6.5434724772383
2024,9,28,3.88578334902807,4.60568702890963,3.38641359338675,5.86890405183042
2024,10,5,2.76306639427745,3.94465864001448,2.61829950256606,5.28610203409297
2024,10,12,2.26913106176444,3.34092835438282,2.03825919433618,4.70297348190439
