year,month,day,data,median,LB,UB
2024,11,9,1.26356050502325,1.26356050502325,1.26356050502325,1.26356050502325
2024,11,16,1.266763455,1.32909398170516,-0,2.86960331543164
2024,11,23,1.28055925282102,1.60931415590234,0.0661724721569765,3.10776079700007
2024,11,30,1.46340221961328,1.83074737014583,0.396243511270083,3.30803452919165
2024,12,7,1.7652608507643,2.03465128200334,0.577720867273593,3.52736052044864
2024,12,14,2.31089698431867,2.25137589318251,0.786514846554091,3.78313012887528
2024,12,21,2.88563340394336,2.77722976215963,0.996772769081365,5.71784964332879
2024,12,28,6.01816229971475,4.71284355477173,2.3487881519506,7.00238146446131
2025,1,4,6.274146018,5.94270014273139,4.30030720352594,7.60020305751939
2025,1,11,5.23235888856349,6.2219684376368,4.530814492469,8.12064274953662
2025,1,18,NaN,6.44151575085883,4.62831496557946,9.01258252313334
2025,1,25,NaN,6.62948751811724,4.82956016528473,9.98258913532165
