year,month,day,data,median,LB,UB
2024,5,4,1.28756435658673,1.28756435658673,1.28756435658673,1.28756435658673
2024,5,11,1.25869361533985,1.00454301530902,0.347510904894784,1.63963176327388
2024,5,18,1.30747864326722,1.10505367027025,0.480540919377784,1.72203549550902
2024,5,25,1.34850675321159,1.23195617025181,0.602039141386237,1.8603188555462
2024,6,1,1.29742459343493,1.37479496337962,0.768774633952118,1.9836404644701
2024,6,8,1.28738140524999,1.57286405738375,0.945548577819577,2.16144939433188
2024,6,15,1.63263759500072,1.81447746344966,1.22037877195311,2.41910069389879
2024,6,22,1.80740795759901,2.10910512803837,1.53232546195019,2.71119260720637
2024,6,29,2.6584696820679,2.48706480603465,1.90288746609043,3.05761329881699
2024,7,6,2.77028422623707,2.91931141702152,2.3235743251879,3.51892014439721
2024,7,13,3.46385492701242,3.42803467821374,2.82168217452145,4.03730031420468
2024,7,20,3.93720404633251,3.98415393119076,3.37950794665416,4.58860118281583
2024,7,27,4.30234435714413,4.58103756439562,3.96359438366286,5.18857131606066
2024,8,3,5.37872567748588,5.18315133493831,4.54770931372707,5.79268156778997
2024,8,10,5.99386847076829,5.73136008807591,5.10819366028783,6.34208093950637
2024,8,17,6.574988067,6.18612283560429,5.5616804285758,6.83232736234457
2024,8,24,6.08313134356208,6.48806057778405,5.77627883092141,7.19995058928471
2024,8,31,NaN,6.602083398224,5.77705276690507,7.54242356690067
2024,9,7,NaN,6.46743000835802,5.48939230713581,7.80499897588163
