year,month,day,data,median,LB,UB
2024,11,9,1.47262695055666,1.47262695055666,1.47262695055666,1.47262695055666
2024,11,16,1.31338883553147,1.24557870647199,0.543967878691068,2.01471716216966
2024,11,23,1.72552581795738,1.52729763695393,0.833702299191659,2.215575922676
2024,11,30,1.48742377884697,1.8734979022869,1.18759994659116,2.56722430884257
2024,12,7,2.34373216006222,2.28940856250144,1.61724607029061,2.9786801570058
2024,12,14,2.80519355561198,2.79607225045378,2.13643489047332,3.45439428573757
2024,12,21,3.41452199952496,3.34244047619267,2.66642463719451,4.02266515900604
2024,12,28,3.794790424,3.85905750027058,3.17099067221011,4.5382542251657
2025,1,4,4.35166407030701,4.27985065754105,3.60945883739193,4.97380684279247
2025,1,11,4.52792303100442,4.53245808128537,3.75991699143408,5.33582267123053
2025,1,18,NaN,4.56271300326854,3.44701579777682,5.86995669505422
2025,1,25,NaN,4.31733271168948,2.87511838520441,6.6631829904035
