means,lower.10.,lower.20.,lower.30.,lower.40.,lower.50.,lower.60.,lower.70.,lower.80.,lower.90.,lower.95.,lower.98.,upper.10.,upper.20.,upper.30.,upper.40.,upper.50.,upper.60.,upper.70.,upper.80.,upper.90.,upper.95.,upper.98.
4.02,3.97,3.93,3.88,3.84,3.79,3.73,3.66,3.58,3.45,3.34,3.22,4.06,4.1,4.15,4.2,4.25,4.3,4.37,4.45,4.58,4.69,4.81
4.53,4.5,4.46,4.42,4.38,4.34,4.29,4.23,4.16,4.05,3.96,3.86,4.57,4.61,4.64,4.68,4.73,4.78,4.83,4.9,5.01,5.1,5.21
5.05,5.02,4.99,4.95,4.92,4.88,4.84,4.79,4.74,4.65,4.57,4.48,5.08,5.11,5.14,5.18,5.21,5.25,5.3,5.36,5.45,5.53,5.62
5.56,5.54,5.51,5.48,5.46,5.42,5.39,5.35,5.3,5.22,5.16,5.08,5.59,5.62,5.64,5.67,5.7,5.74,5.78,5.83,5.91,5.97,6.05
6.08,6.06,6.03,6.01,5.98,5.95,5.92,5.89,5.84,5.77,5.71,5.65,6.1,6.13,6.15,6.18,6.21,6.24,6.27,6.32,6.39,6.45,6.52
6.6,6.57,6.55,6.52,6.5,6.47,6.44,6.4,6.36,6.29,6.23,6.16,6.62,6.64,6.67,6.69,6.72,6.75,6.79,6.84,6.9,6.96,7.03
7.11,7.09,7.06,7.03,7,6.97,6.94,6.9,6.85,6.77,6.7,6.63,7.14,7.16,7.19,7.22,7.25,7.29,7.33,7.38,7.45,7.52,7.6
7.63,7.6,7.57,7.53,7.5,7.46,7.42,7.38,7.32,7.23,7.15,7.06,7.66,7.69,7.72,7.76,7.79,7.83,7.88,7.94,8.03,8.11,8.2
8.14,8.11,8.07,8.03,7.99,7.95,7.9,7.84,7.77,7.67,7.58,7.47,8.18,8.22,8.26,8.3,8.34,8.39,8.45,8.52,8.62,8.71,8.82
8.66,8.62,8.57,8.53,8.48,8.43,8.37,8.31,8.22,8.1,7.99,7.86,8.7,8.75,8.79,8.84,8.89,8.95,9.02,9.1,9.22,9.33,9.46
9.18,9.13,9.08,9.02,8.97,8.91,8.84,8.76,8.67,8.52,8.4,8.25,9.23,9.28,9.33,9.38,9.44,9.51,9.59,9.69,9.83,9.96,10.1
9.69,9.64,9.58,9.52,9.45,9.38,9.31,9.22,9.11,8.94,8.8,8.63,9.75,9.81,9.87,9.93,10,10.08,10.16,10.28,10.44,10.59,10.75
