prediction,lower.10.,lower.20.,lower.30.,lower.40.,lower.50.,lower.60.,lower.70.,lower.80.,lower.90.,lower.95.,lower.98.,upper.10.,upper.20.,upper.30.,upper.40.,upper.50.,upper.60.,upper.70.,upper.80.,upper.90.,upper.95.,upper.98.
4.02,3.94,3.88,3.82,3.76,3.67,3.6,3.51,3.35,3.18,3.07,2.86,4.07,4.16,4.19,4.3,4.36,4.47,4.55,4.7,4.82,5.02,5.22
4.53,4.47,4.44,4.35,4.28,4.19,4.1,4,3.91,3.66,3.52,3.27,4.61,4.68,4.76,4.8,4.89,5.01,5.05,5.2,5.35,5.62,5.66
5.05,5.02,4.9,4.83,4.74,4.75,4.61,4.53,4.39,4.21,4.02,3.75,5.14,5.16,5.22,5.3,5.42,5.51,5.61,5.72,5.89,6.1,6.2
5.56,5.49,5.45,5.36,5.33,5.21,5.15,5.02,4.84,4.73,4.6,4.41,5.6,5.71,5.74,5.86,5.87,6.01,6.11,6.16,6.44,6.63,6.75
6.08,6.02,5.95,5.89,5.81,5.74,5.64,5.54,5.39,5.24,5.09,4.95,6.16,6.23,6.3,6.4,6.44,6.48,6.65,6.71,6.91,7.06,7.31
6.6,6.51,6.5,6.4,6.33,6.25,6.16,6.05,5.93,5.73,5.51,5.32,6.65,6.74,6.77,6.86,6.94,7.02,7.09,7.27,7.41,7.63,7.87
7.11,7.03,7,6.95,6.83,6.75,6.63,6.57,6.46,6.26,6.07,5.88,7.15,7.29,7.32,7.38,7.42,7.54,7.66,7.76,7.97,8.17,8.37
7.63,7.57,7.5,7.41,7.36,7.33,7.2,7.05,6.96,6.8,6.57,6.4,7.71,7.77,7.83,7.93,7.99,8.07,8.17,8.32,8.5,8.61,8.86
8.14,8.09,8.01,7.96,7.89,7.79,7.72,7.65,7.48,7.36,7.14,6.92,8.21,8.24,8.34,8.44,8.52,8.58,8.65,8.79,8.97,9.17,9.32
8.66,8.6,8.55,8.41,8.4,8.32,8.23,8.15,7.93,7.81,7.66,7.48,8.72,8.78,8.84,8.94,9.02,9.07,9.2,9.36,9.51,9.63,9.86
9.18,9.13,9.03,8.96,8.93,8.83,8.69,8.63,8.51,8.36,8.14,8.02,9.27,9.31,9.39,9.44,9.52,9.59,9.69,9.83,9.99,10.23,10.38
9.69,9.65,9.56,9.5,9.44,9.37,9.26,9.13,9.01,8.84,8.7,8.5,9.78,9.81,9.91,9.96,10.06,10.15,10.26,10.39,10.51,10.66,10.85
