means,lower.10.,lower.20.,lower.30.,lower.40.,lower.50.,lower.60.,lower.70.,lower.80.,lower.90.,lower.95.,lower.98.,upper.10.,upper.20.,upper.30.,upper.40.,upper.50.,upper.60.,upper.70.,upper.80.,upper.90.,upper.95.,upper.98.
4.5,4.47,4.44,4.4,4.36,4.32,4.28,4.23,4.16,4.07,3.98,3.88,4.54,4.57,4.61,4.64,4.68,4.73,4.78,4.85,4.94,5.03,5.13
5.04,5.01,4.98,4.95,4.92,4.89,4.85,4.8,4.75,4.66,4.59,4.5,5.07,5.1,5.13,5.16,5.2,5.24,5.28,5.34,5.42,5.5,5.58
6.09,6.06,6.04,6.01,5.98,5.95,5.92,5.88,5.83,5.75,5.69,5.61,6.12,6.14,6.17,6.2,6.23,6.26,6.3,6.35,6.43,6.49,6.57
6.67,6.65,6.62,6.59,6.56,6.53,6.5,6.46,6.4,6.33,6.26,6.18,6.7,6.73,6.76,6.78,6.82,6.85,6.89,6.94,7.02,7.09,7.16
6.59,6.56,6.53,6.5,6.47,6.44,6.4,6.36,6.3,6.22,6.15,6.07,6.62,6.65,6.68,6.71,6.74,6.78,6.82,6.88,6.96,7.03,7.11
7.05,7.02,6.99,6.96,6.93,6.9,6.86,6.82,6.76,6.68,6.61,6.53,7.08,7.11,7.14,7.17,7.2,7.24,7.28,7.34,7.42,7.49,7.57
8.02,8,7.97,7.94,7.91,7.88,7.85,7.81,7.75,7.68,7.61,7.54,8.05,8.08,8.11,8.13,8.17,8.2,8.24,8.29,8.37,8.44,8.51
8.27,8.24,8.21,8.19,8.16,8.13,8.09,8.05,8,7.93,7.86,7.79,8.29,8.32,8.34,8.37,8.4,8.44,8.48,8.53,8.6,8.67,8.74
7.8,7.77,7.74,7.71,7.68,7.65,7.61,7.56,7.51,7.42,7.35,7.26,7.83,7.86,7.89,7.92,7.96,8,8.04,8.1,8.18,8.26,8.34
7.55,7.51,7.48,7.44,7.41,7.36,7.32,7.27,7.2,7.11,7.02,6.92,7.58,7.61,7.65,7.69,7.73,7.77,7.82,7.89,7.98,8.07,8.17
7.39,7.28,7.17,7.05,6.93,6.8,6.65,6.48,6.26,5.94,5.66,5.33,7.51,7.62,7.74,7.86,7.99,8.14,8.31,8.53,8.85,9.13,9.46
7.24,7.04,6.84,6.62,6.4,6.16,5.89,5.57,5.18,4.6,4.09,3.5,7.45,7.65,7.86,8.09,8.33,8.6,8.91,9.31,9.89,10.4,10.99
