means,lower.10.,lower.20.,lower.30.,lower.40.,lower.50.,lower.60.,lower.70.,lower.80.,lower.90.,lower.95.,lower.98.,upper.10.,upper.20.,upper.30.,upper.40.,upper.50.,upper.60.,upper.70.,upper.80.,upper.90.,upper.95.,upper.98.
5.13,5.09,5.04,5,4.95,4.9,4.84,4.77,4.69,4.56,4.45,4.33,5.17,5.22,5.26,5.31,5.36,5.42,5.49,5.57,5.7,5.81,5.93
5.95,5.92,5.89,5.85,5.82,5.78,5.74,5.69,5.63,5.53,5.45,5.36,5.98,6.02,6.05,6.08,6.12,6.17,6.21,6.28,6.37,6.45,6.54
6.46,6.43,6.4,6.36,6.33,6.29,6.25,6.2,6.14,6.05,5.97,5.88,6.49,6.52,6.55,6.59,6.63,6.67,6.72,6.78,6.87,6.94,7.04
6.79,6.76,6.73,6.7,6.66,6.63,6.59,6.54,6.48,6.39,6.32,6.23,6.82,6.85,6.89,6.92,6.96,7,7.04,7.1,7.19,7.27,7.36
7.26,7.23,7.2,7.17,7.13,7.1,7.05,7.01,6.94,6.85,6.78,6.69,7.29,7.33,7.36,7.39,7.43,7.47,7.52,7.58,7.67,7.75,7.84
7.9,7.87,7.84,7.81,7.77,7.74,7.69,7.65,7.59,7.5,7.42,7.33,7.93,7.97,8,8.03,8.07,8.11,8.16,8.22,8.31,8.39,8.48
8.2,8.17,8.14,8.11,8.07,8.04,7.99,7.95,7.89,7.8,7.72,7.63,8.23,8.26,8.29,8.33,8.36,8.4,8.45,8.51,8.6,8.68,8.77
7.97,7.94,7.91,7.87,7.84,7.8,7.76,7.71,7.65,7.56,7.48,7.39,8,8.03,8.07,8.1,8.14,8.18,8.23,8.29,8.38,8.46,8.55
7.15,7.12,7.09,7.06,7.02,6.98,6.94,6.89,6.83,6.74,6.66,6.56,7.19,7.22,7.25,7.29,7.32,7.37,7.42,7.48,7.57,7.65,7.74
5.8,5.76,5.72,5.67,5.62,5.57,5.51,5.45,5.36,5.24,5.13,5,5.85,5.89,5.94,5.99,6.04,6.09,6.16,6.25,6.37,6.48,6.61
4.29,4.2,4.1,4,3.89,3.78,3.65,3.5,3.31,3.04,2.8,2.52,4.39,4.48,4.59,4.69,4.81,4.93,5.08,5.27,5.55,5.79,6.07
2.78,2.62,2.46,2.3,2.12,1.94,1.73,1.48,1.18,0.72,0.33,0,2.94,3.1,3.26,3.43,3.62,3.83,4.07,4.38,4.83,5.23,5.69
