means,lower.10.,lower.20.,lower.30.,lower.40.,lower.50.,lower.60.,lower.70.,lower.80.,lower.90.,lower.95.,lower.98.,upper.10.,upper.20.,upper.30.,upper.40.,upper.50.,upper.60.,upper.70.,upper.80.,upper.90.,upper.95.,upper.98.
6.13,6.05,5.97,5.89,5.81,5.72,5.61,5.49,5.34,5.12,4.93,4.7,6.21,6.28,6.36,6.45,6.54,6.64,6.76,6.91,7.14,7.33,7.55
6.29,6.23,6.16,6.09,6.02,5.94,5.86,5.75,5.63,5.44,5.27,5.08,6.36,6.42,6.49,6.56,6.64,6.73,6.83,6.96,7.15,7.31,7.5
6.45,6.4,6.34,6.29,6.23,6.16,6.09,6,5.9,5.74,5.6,5.44,6.51,6.57,6.62,6.68,6.75,6.82,6.91,7.01,7.17,7.31,7.47
6.62,6.57,6.52,6.47,6.42,6.37,6.31,6.23,6.14,6.01,5.89,5.75,6.66,6.71,6.76,6.81,6.87,6.93,7,7.09,7.23,7.35,7.48
6.78,6.74,6.7,6.65,6.61,6.56,6.5,6.43,6.35,6.23,6.13,6,6.82,6.87,6.91,6.96,7.01,7.06,7.13,7.21,7.33,7.44,7.56
6.94,6.9,6.86,6.82,6.77,6.72,6.66,6.6,6.52,6.39,6.29,6.17,6.99,7.03,7.07,7.12,7.17,7.23,7.29,7.37,7.49,7.6,7.72
7.11,7.06,7.01,6.96,6.91,6.86,6.79,6.72,6.63,6.5,6.38,6.24,7.15,7.2,7.25,7.3,7.36,7.42,7.49,7.58,7.72,7.84,7.97
7.27,7.22,7.16,7.1,7.04,6.98,6.9,6.82,6.71,6.55,6.41,6.25,7.32,7.38,7.44,7.5,7.56,7.64,7.72,7.83,7.99,8.13,8.29
7.43,7.37,7.3,7.23,7.16,7.08,7,6.9,6.77,6.58,6.42,6.23,7.5,7.56,7.63,7.71,7.78,7.87,7.97,8.1,8.29,8.45,8.64
7.6,7.52,7.44,7.36,7.28,7.18,7.08,6.96,6.81,6.59,6.4,6.17,7.67,7.75,7.83,7.92,8.01,8.11,8.23,8.38,8.6,8.8,9.02
7.76,7.67,7.58,7.49,7.39,7.28,7.16,7.02,6.85,6.59,6.36,6.1,7.85,7.94,8.03,8.13,8.24,8.36,8.5,8.67,8.93,9.15,9.41
7.92,7.82,7.72,7.61,7.49,7.37,7.24,7.08,6.88,6.58,6.33,6.03,8.02,8.13,8.24,8.35,8.47,8.61,8.77,8.97,9.26,9.52,9.82
