prediction,lower.10.,lower.20.,lower.30.,lower.40.,lower.50.,lower.60.,lower.70.,lower.80.,lower.90.,lower.95.,lower.98.,upper.10.,upper.20.,upper.30.,upper.40.,upper.50.,upper.60.,upper.70.,upper.80.,upper.90.,upper.95.,upper.98.
6.13,6.07,5.9,5.79,5.62,5.53,5.33,5.08,4.95,4.58,4.17,4.02,6.25,6.4,6.59,6.63,6.73,6.92,7.06,7.33,7.64,7.82,8.16
6.29,6.12,6.07,5.96,5.82,5.7,5.47,5.31,5.12,4.71,4.47,4.18,6.37,6.55,6.69,6.78,6.95,7.03,7.24,7.53,7.83,8.06,8.55
6.45,6.37,6.25,6.06,6,5.77,5.74,5.53,5.25,5.06,4.66,4.36,6.62,6.74,6.81,6.92,7.07,7.26,7.5,7.57,7.95,8.21,8.56
6.62,6.49,6.38,6.26,6.15,5.98,5.79,5.71,5.42,5.07,4.79,4.4,6.72,6.9,6.97,7.1,7.26,7.43,7.57,7.88,8.13,8.44,8.87
6.78,6.64,6.62,6.42,6.29,6.16,6.03,5.8,5.59,5.29,4.91,4.66,6.86,7.08,7.13,7.3,7.34,7.54,7.72,7.98,8.24,8.61,8.88
6.94,6.83,6.76,6.58,6.43,6.29,6.16,5.94,5.72,5.36,5.17,4.9,7.09,7.21,7.34,7.42,7.59,7.72,7.91,8.11,8.38,8.63,9.28
7.11,6.97,6.87,6.71,6.6,6.47,6.41,6.16,5.82,5.49,5.27,4.81,7.22,7.34,7.46,7.58,7.77,7.87,8.05,8.29,8.57,8.92,9.2
7.27,7.23,7.09,6.89,6.73,6.58,6.52,6.35,6.09,5.71,5.48,5.16,7.42,7.54,7.62,7.76,7.9,8.08,8.13,8.44,8.82,9.07,9.37
7.43,7.32,7.27,7.07,6.94,6.77,6.62,6.51,6.15,5.96,5.58,5.25,7.56,7.71,7.79,7.93,8.05,8.21,8.38,8.6,8.94,9.18,9.65
7.6,7.51,7.44,7.2,7.08,6.97,6.89,6.65,6.41,6.21,5.72,5.42,7.73,7.9,7.96,8.01,8.16,8.44,8.51,8.82,9.2,9.45,9.57
7.76,7.69,7.51,7.37,7.29,7.13,6.94,6.73,6.54,6.15,6,5.71,7.91,7.99,8.09,8.21,8.39,8.55,8.74,8.94,9.27,9.55,9.74
7.92,7.83,7.77,7.56,7.45,7.35,7.17,6.93,6.76,6.38,6.19,5.91,8.05,8.19,8.28,8.44,8.61,8.73,8.83,9.07,9.46,9.66,9.96
