means,lower.10.,lower.20.,lower.30.,lower.40.,lower.50.,lower.60.,lower.70.,lower.80.,lower.90.,lower.95.,lower.98.,upper.10.,upper.20.,upper.30.,upper.40.,upper.50.,upper.60.,upper.70.,upper.80.,upper.90.,upper.95.,upper.98.
5.47,5.41,5.35,5.29,5.23,5.16,5.08,4.99,4.87,4.7,4.56,4.38,5.53,5.59,5.65,5.72,5.79,5.87,5.96,6.07,6.24,6.39,6.56
5.82,5.77,5.72,5.66,5.61,5.55,5.48,5.41,5.31,5.17,5.04,4.89,5.87,5.92,5.97,6.03,6.09,6.15,6.23,6.33,6.47,6.6,6.74
6.16,6.12,6.08,6.03,5.99,5.94,5.88,5.82,5.74,5.61,5.51,5.39,6.2,6.25,6.29,6.34,6.39,6.44,6.51,6.59,6.71,6.82,6.94
6.51,6.47,6.44,6.4,6.36,6.32,6.27,6.21,6.14,6.04,5.95,5.85,6.54,6.58,6.62,6.66,6.7,6.75,6.8,6.87,6.98,7.06,7.17
6.85,6.82,6.79,6.75,6.72,6.68,6.64,6.59,6.53,6.43,6.35,6.26,6.89,6.92,6.95,6.99,7.03,7.07,7.12,7.18,7.27,7.35,7.45
7.2,7.17,7.13,7.1,7.06,7.03,6.98,6.93,6.87,6.78,6.7,6.6,7.23,7.26,7.3,7.33,7.37,7.41,7.46,7.53,7.62,7.7,7.79
7.54,7.51,7.47,7.43,7.39,7.35,7.3,7.25,7.18,7.08,6.99,6.88,7.58,7.62,7.65,7.69,7.74,7.78,7.84,7.91,8.01,8.1,8.2
7.89,7.85,7.8,7.76,7.71,7.66,7.61,7.54,7.46,7.34,7.23,7.11,7.93,7.97,8.02,8.06,8.11,8.17,8.23,8.32,8.44,8.54,8.66
8.23,8.18,8.13,8.08,8.03,7.97,7.9,7.82,7.73,7.58,7.46,7.31,8.28,8.33,8.39,8.44,8.5,8.57,8.65,8.74,8.89,9.01,9.16
8.58,8.52,8.46,8.4,8.33,8.26,8.19,8.09,7.98,7.81,7.66,7.49,8.64,8.7,8.76,8.82,8.89,8.97,9.06,9.18,9.35,9.5,9.67
8.92,8.86,8.79,8.71,8.64,8.56,8.47,8.36,8.23,8.03,7.86,7.66,8.99,9.06,9.13,9.21,9.29,9.38,9.49,9.62,9.82,9.99,10.19
9.27,9.19,9.11,9.03,8.94,8.85,8.75,8.62,8.47,8.24,8.05,7.82,9.35,9.43,9.51,9.6,9.69,9.79,9.91,10.07,10.29,10.49,10.72
