prediction,lower.10.,lower.20.,lower.30.,lower.40.,lower.50.,lower.60.,lower.70.,lower.80.,lower.90.,lower.95.,lower.98.,upper.10.,upper.20.,upper.30.,upper.40.,upper.50.,upper.60.,upper.70.,upper.80.,upper.90.,upper.95.,upper.98.
5.47,5.36,5.27,5.18,5.1,5.05,4.86,4.75,4.53,4.24,4.09,3.69,5.54,5.66,5.74,5.87,5.99,6.04,6.2,6.37,6.62,6.86,7.04
5.81,5.69,5.6,5.58,5.48,5.37,5.23,5.03,4.9,4.68,4.45,4.21,5.89,5.95,6.13,6.2,6.33,6.48,6.5,6.76,6.93,7.2,7.4
6.16,5.99,5.92,5.94,5.72,5.74,5.52,5.49,5.25,4.99,4.85,4.56,6.17,6.32,6.47,6.54,6.67,6.76,6.91,7.02,7.27,7.51,7.79
6.51,6.4,6.33,6.31,6.1,6.02,5.89,5.75,5.59,5.37,5.18,4.98,6.58,6.67,6.81,6.9,7.01,7.06,7.21,7.39,7.76,7.86,8.19
6.85,6.76,6.68,6.58,6.47,6.35,6.27,6.1,5.91,5.68,5.45,5.35,6.93,7.02,7.12,7.24,7.32,7.44,7.59,7.73,7.96,8.22,8.44
7.2,7.1,7.02,6.91,6.82,6.73,6.57,6.49,6.27,6.02,5.82,5.68,7.29,7.38,7.43,7.62,7.65,7.77,7.97,8.1,8.41,8.57,8.82
7.54,7.44,7.35,7.32,7.17,7.08,6.91,6.82,6.59,6.44,6.15,5.95,7.62,7.68,7.86,7.91,8.03,8.1,8.25,8.42,8.68,8.92,9.04
7.89,7.86,7.74,7.6,7.5,7.41,7.29,7.21,6.94,6.8,6.41,6.17,8.01,8.04,8.18,8.27,8.35,8.51,8.62,8.82,9.08,9.23,9.48
8.23,8.17,8.04,7.97,7.84,7.83,7.61,7.55,7.28,7.05,6.81,6.54,8.33,8.4,8.51,8.6,8.73,8.8,9.04,9.12,9.36,9.55,9.85
8.58,8.49,8.39,8.36,8.23,8.16,8.01,7.87,7.65,7.43,7.11,7.01,8.68,8.7,8.93,8.95,9.11,9.17,9.38,9.52,9.69,10.02,10.1
8.93,8.83,8.71,8.59,8.58,8.48,8.32,8.13,8.01,7.77,7.46,7.17,9.03,9.12,9.13,9.31,9.44,9.55,9.63,9.87,10.05,10.25,10.73
9.27,9.17,9.14,8.99,8.97,8.84,8.67,8.58,8.34,8.18,7.92,7.74,9.37,9.44,9.53,9.67,9.75,9.85,10.05,10.18,10.41,10.69,10.99
