means,lower.10.,lower.20.,lower.30.,lower.40.,lower.50.,lower.60.,lower.70.,lower.80.,lower.90.,lower.95.,lower.98.,upper.10.,upper.20.,upper.30.,upper.40.,upper.50.,upper.60.,upper.70.,upper.80.,upper.90.,upper.95.,upper.98.
5.41,5.38,5.35,5.33,5.3,5.26,5.23,5.19,5.14,5.06,5,4.92,5.43,5.46,5.49,5.52,5.55,5.58,5.62,5.67,5.75,5.82,5.89
6.18,6.17,6.15,6.13,6.11,6.09,6.06,6.04,6,5.95,5.9,5.85,6.2,6.22,6.24,6.26,6.28,6.3,6.33,6.37,6.42,6.46,6.52
6.94,6.92,6.9,6.88,6.87,6.84,6.82,6.8,6.76,6.71,6.67,6.62,6.96,6.97,6.99,7.01,7.03,7.05,7.08,7.11,7.16,7.21,7.26
7.58,7.56,7.54,7.52,7.5,7.48,7.46,7.43,7.4,7.35,7.31,7.26,7.59,7.61,7.63,7.65,7.67,7.69,7.72,7.75,7.8,7.84,7.89
7.99,7.97,7.95,7.94,7.92,7.9,7.87,7.85,7.82,7.77,7.72,7.67,8.01,8.02,8.04,8.06,8.08,8.1,8.13,8.16,8.21,8.26,8.31
8.14,8.12,8.1,8.08,8.06,8.04,8.02,7.99,7.96,7.91,7.87,7.82,8.15,8.17,8.19,8.21,8.23,8.25,8.28,8.31,8.36,8.4,8.45
8.05,8.04,8.02,8,7.98,7.96,7.94,7.91,7.88,7.83,7.78,7.73,8.07,8.09,8.11,8.13,8.15,8.17,8.2,8.23,8.28,8.32,8.37
7.78,7.76,7.75,7.73,7.71,7.69,7.67,7.64,7.61,7.56,7.51,7.46,7.8,7.82,7.83,7.85,7.87,7.9,7.92,7.96,8.01,8.05,8.1
7.37,7.35,7.33,7.31,7.29,7.27,7.25,7.22,7.18,7.13,7.09,7.03,7.38,7.4,7.42,7.44,7.46,7.49,7.51,7.55,7.6,7.65,7.7
6.87,6.84,6.81,6.79,6.76,6.72,6.69,6.65,6.6,6.52,6.46,6.38,6.89,6.92,6.95,6.98,7.01,7.04,7.08,7.13,7.21,7.28,7.35
6.35,6.3,6.25,6.2,6.15,6.1,6.04,5.97,5.88,5.74,5.63,5.49,6.39,6.44,6.49,6.54,6.59,6.65,6.72,6.81,6.95,7.06,7.2
5.82,5.76,5.69,5.61,5.54,5.46,5.36,5.26,5.12,4.92,4.75,4.55,5.89,5.96,6.03,6.11,6.19,6.28,6.39,6.53,6.72,6.9,7.1
