means,lower.10.,lower.20.,lower.30.,lower.40.,lower.50.,lower.60.,lower.70.,lower.80.,lower.90.,lower.95.,lower.98.,upper.10.,upper.20.,upper.30.,upper.40.,upper.50.,upper.60.,upper.70.,upper.80.,upper.90.,upper.95.,upper.98.
6.09,6.06,6.02,5.99,5.96,5.92,5.88,5.83,5.77,5.68,5.6,5.51,6.12,6.15,6.18,6.22,6.25,6.3,6.34,6.4,6.49,6.57,6.66
6.9,6.88,6.86,6.84,6.81,6.79,6.76,6.73,6.68,6.62,6.57,6.5,6.93,6.95,6.97,6.99,7.02,7.05,7.08,7.12,7.19,7.24,7.3
7.6,7.57,7.55,7.53,7.51,7.48,7.45,7.42,7.38,7.32,7.26,7.2,7.62,7.64,7.66,7.69,7.71,7.74,7.77,7.81,7.88,7.93,7.99
8.02,8,7.98,7.95,7.93,7.91,7.88,7.84,7.8,7.74,7.69,7.63,8.04,8.06,8.08,8.11,8.13,8.16,8.19,8.23,8.29,8.35,8.41
8.14,8.12,8.1,8.08,8.05,8.03,8,7.97,7.93,7.87,7.81,7.75,8.16,8.18,8.2,8.23,8.25,8.28,8.31,8.35,8.42,8.47,8.53
8.06,8.03,8.01,7.99,7.97,7.94,7.92,7.88,7.84,7.78,7.73,7.67,8.08,8.1,8.12,8.14,8.17,8.2,8.23,8.27,8.33,8.38,8.44
7.77,7.75,7.73,7.71,7.69,7.66,7.63,7.6,7.56,7.5,7.45,7.38,7.79,7.82,7.84,7.86,7.89,7.91,7.95,7.99,8.05,8.1,8.16
7.25,7.23,7.21,7.19,7.16,7.14,7.11,7.08,7.03,6.97,6.92,6.86,7.27,7.29,7.32,7.34,7.37,7.39,7.43,7.47,7.53,7.58,7.65
6.45,6.43,6.41,6.38,6.36,6.33,6.3,6.27,6.23,6.17,6.11,6.05,6.47,6.49,6.52,6.54,6.57,6.59,6.63,6.67,6.73,6.79,6.85
5.41,5.38,5.35,5.31,5.28,5.24,5.2,5.15,5.09,5,4.92,4.83,5.44,5.47,5.51,5.54,5.58,5.62,5.67,5.73,5.82,5.9,5.99
4.31,4.25,4.18,4.12,4.06,3.98,3.9,3.81,3.69,3.52,3.37,3.2,4.37,4.43,4.49,4.56,4.63,4.71,4.8,4.92,5.09,5.24,5.41
3.2,3.11,3.01,2.92,2.81,2.7,2.58,2.43,2.25,1.98,1.75,1.47,3.29,3.39,3.49,3.59,3.7,3.83,3.97,4.15,4.42,4.66,4.93
