means,lower.10.,lower.20.,lower.30.,lower.40.,lower.50.,lower.60.,lower.70.,lower.80.,lower.90.,lower.95.,lower.98.,upper.10.,upper.20.,upper.30.,upper.40.,upper.50.,upper.60.,upper.70.,upper.80.,upper.90.,upper.95.,upper.98.
7.49,7.41,7.34,7.26,7.17,7.08,6.98,6.86,6.71,6.49,6.3,6.08,7.57,7.64,7.72,7.81,7.9,8,8.12,8.27,8.49,8.68,8.9
7.42,7.35,7.29,7.22,7.15,7.07,6.99,6.89,6.76,6.57,6.41,6.22,7.48,7.55,7.62,7.69,7.77,7.85,7.95,8.08,8.26,8.43,8.62
7.35,7.29,7.24,7.18,7.12,7.06,6.98,6.9,6.79,6.64,6.5,6.34,7.4,7.46,7.51,7.57,7.64,7.71,7.8,7.9,8.06,8.19,8.35
7.28,7.23,7.18,7.13,7.08,7.03,6.97,6.89,6.8,6.67,6.55,6.42,7.32,7.37,7.42,7.47,7.52,7.59,7.66,7.75,7.88,8,8.13
7.2,7.16,7.12,7.08,7.03,6.98,6.93,6.86,6.78,6.66,6.56,6.43,7.25,7.29,7.33,7.38,7.43,7.48,7.55,7.63,7.75,7.85,7.97
7.13,7.09,7.05,7.01,6.96,6.91,6.85,6.79,6.71,6.59,6.48,6.36,7.17,7.22,7.26,7.31,7.36,7.41,7.48,7.56,7.68,7.78,7.9
7.06,7.01,6.97,6.92,6.87,6.81,6.75,6.68,6.59,6.46,6.34,6.21,7.11,7.15,7.2,7.25,7.31,7.37,7.44,7.53,7.67,7.78,7.92
6.99,6.94,6.88,6.82,6.76,6.7,6.63,6.54,6.44,6.28,6.14,5.98,7.04,7.1,7.16,7.22,7.28,7.35,7.44,7.54,7.7,7.84,8
6.92,6.85,6.79,6.72,6.65,6.57,6.49,6.38,6.26,6.07,5.91,5.72,6.98,7.05,7.12,7.19,7.26,7.35,7.45,7.58,7.76,7.93,8.11
6.85,6.77,6.69,6.61,6.53,6.44,6.34,6.22,6.07,5.85,5.66,5.44,6.92,7,7.08,7.16,7.25,7.36,7.47,7.62,7.84,8.03,8.26
6.77,6.69,6.6,6.5,6.41,6.3,6.18,6.04,5.87,5.62,5.39,5.14,6.86,6.95,7.05,7.14,7.25,7.37,7.5,7.68,7.93,8.16,8.41
6.7,6.6,6.5,6.39,6.28,6.16,6.02,5.87,5.67,5.38,5.12,4.83,6.8,6.91,7.01,7.13,7.25,7.38,7.54,7.74,8.03,8.28,8.58
