prediction,lower.10.,lower.20.,lower.30.,lower.40.,lower.50.,lower.60.,lower.70.,lower.80.,lower.90.,lower.95.,lower.98.,upper.10.,upper.20.,upper.30.,upper.40.,upper.50.,upper.60.,upper.70.,upper.80.,upper.90.,upper.95.,upper.98.
7.49,7.38,7.2,7.19,7.03,6.9,6.58,6.51,6.29,6.01,5.71,5.27,7.64,7.72,7.84,7.95,8.13,8.18,8.47,8.65,8.95,9.27,9.76
7.42,7.29,7.16,7.07,6.92,6.81,6.65,6.36,6.21,5.99,5.74,5.34,7.6,7.59,7.75,7.91,8.13,8.19,8.31,8.7,9.04,9.18,9.52
7.35,7.29,7.1,6.96,6.86,6.67,6.58,6.36,6.2,5.76,5.37,5.27,7.5,7.54,7.72,7.81,7.99,8.08,8.35,8.52,8.83,9.18,9.54
7.27,7.16,7.11,6.89,6.85,6.58,6.51,6.26,6.06,5.86,5.38,5.11,7.41,7.54,7.62,7.79,7.86,8.11,8.23,8.47,8.89,9.17,9.53
7.2,7.04,6.95,6.83,6.75,6.62,6.39,6.28,5.99,5.69,5.38,5.22,7.3,7.42,7.58,7.73,7.84,8.02,8.03,8.5,8.76,8.93,9.27
7.13,7.03,6.85,6.8,6.71,6.51,6.34,6.27,6,5.58,5.25,5,7.24,7.35,7.51,7.63,7.74,7.93,8.1,8.23,8.63,8.82,9.2
7.06,7,6.76,6.73,6.53,6.47,6.26,6.04,5.89,5.63,5.25,4.79,7.22,7.28,7.51,7.54,7.73,7.85,8.13,8.24,8.55,8.96,9.05
6.99,6.85,6.77,6.65,6.5,6.37,6.2,6.02,5.84,5.36,5.33,4.92,7.1,7.29,7.42,7.45,7.63,7.73,7.97,8.19,8.55,8.79,9.13
6.92,6.82,6.71,6.58,6.45,6.26,6.18,5.88,5.77,5.35,5.11,4.97,7.03,7.16,7.26,7.42,7.5,7.67,7.89,8,8.36,8.79,9.2
6.84,6.74,6.61,6.52,6.37,6.2,6.05,5.85,5.6,5.24,4.97,4.87,6.95,7.05,7.26,7.31,7.48,7.58,7.75,7.94,8.39,8.55,9.13
6.77,6.66,6.56,6.53,6.3,6.09,5.96,5.8,5.55,5.24,4.97,4.84,6.91,7.03,7.2,7.22,7.31,7.59,7.75,7.98,8.28,8.74,8.94
6.7,6.51,6.48,6.32,6.2,6.1,5.93,5.71,5.55,5.22,5.07,4.58,6.77,6.97,7.04,7.23,7.39,7.47,7.64,7.9,8.21,8.6,8.71
