means,lower.10.,lower.20.,lower.30.,lower.40.,lower.50.,lower.60.,lower.70.,lower.80.,lower.90.,lower.95.,lower.98.,upper.10.,upper.20.,upper.30.,upper.40.,upper.50.,upper.60.,upper.70.,upper.80.,upper.90.,upper.95.,upper.98.
2.81,2.79,2.77,2.75,2.72,2.7,2.67,2.64,2.6,2.54,2.49,2.44,2.83,2.85,2.87,2.89,2.92,2.94,2.97,3.01,3.07,3.12,3.18
3.39,3.38,3.36,3.35,3.33,3.31,3.29,3.27,3.24,3.2,3.16,3.12,3.41,3.42,3.44,3.45,3.47,3.49,3.52,3.54,3.59,3.63,3.67
3.9,3.89,3.88,3.86,3.84,3.83,3.81,3.79,3.76,3.71,3.68,3.64,3.92,3.93,3.95,3.97,3.98,4,4.02,4.05,4.09,4.13,4.17
4.52,4.5,4.49,4.47,4.46,4.44,4.42,4.4,4.37,4.33,4.29,4.25,4.53,4.54,4.56,4.58,4.59,4.61,4.63,4.66,4.7,4.74,4.78
5.3,5.29,5.27,5.26,5.24,5.23,5.21,5.18,5.15,5.11,5.08,5.03,5.32,5.33,5.35,5.36,5.38,5.4,5.42,5.45,5.49,5.53,5.57
6.04,6.03,6.01,6,5.98,5.96,5.94,5.92,5.89,5.85,5.81,5.77,6.06,6.07,6.09,6.1,6.12,6.14,6.16,6.19,6.23,6.27,6.31
6.38,6.37,6.36,6.34,6.32,6.31,6.29,6.27,6.24,6.2,6.16,6.12,6.4,6.41,6.43,6.44,6.46,6.48,6.5,6.53,6.57,6.61,6.65
6.18,6.17,6.15,6.14,6.12,6.11,6.09,6.06,6.04,5.99,5.96,5.92,6.2,6.21,6.23,6.24,6.26,6.28,6.3,6.33,6.37,6.41,6.45
5.55,5.54,5.52,5.51,5.49,5.47,5.45,5.43,5.4,5.36,5.32,5.28,5.57,5.58,5.6,5.62,5.63,5.65,5.68,5.71,5.75,5.79,5.83
4.71,4.69,4.67,4.65,4.63,4.61,4.58,4.55,4.51,4.45,4.4,4.34,4.73,4.75,4.78,4.8,4.82,4.85,4.88,4.92,4.98,5.03,5.09
3.82,3.78,3.73,3.68,3.63,3.58,3.52,3.45,3.36,3.23,3.11,2.98,3.87,3.91,3.96,4.01,4.07,4.13,4.2,4.29,4.42,4.53,4.67
2.93,2.86,2.78,2.7,2.62,2.53,2.43,2.31,2.16,1.95,1.76,1.54,3.01,3.08,3.16,3.24,3.33,3.43,3.55,3.7,3.92,4.1,4.32
