means,lower.10.,lower.20.,lower.30.,lower.40.,lower.50.,lower.60.,lower.70.,lower.80.,lower.90.,lower.95.,lower.98.,upper.10.,upper.20.,upper.30.,upper.40.,upper.50.,upper.60.,upper.70.,upper.80.,upper.90.,upper.95.,upper.98.
3.52,3.45,3.38,3.31,3.24,3.16,3.07,2.97,2.84,2.65,2.48,2.29,3.58,3.65,3.72,3.79,3.87,3.96,4.06,4.19,4.38,4.55,4.74
3.82,3.76,3.71,3.65,3.58,3.52,3.44,3.36,3.25,3.08,2.94,2.78,3.88,3.93,3.99,4.05,4.12,4.2,4.28,4.39,4.56,4.7,4.86
4.12,4.07,4.03,3.98,3.92,3.87,3.81,3.73,3.64,3.5,3.38,3.25,4.17,4.22,4.27,4.32,4.38,4.44,4.51,4.6,4.74,4.86,5
4.43,4.39,4.34,4.3,4.26,4.21,4.16,4.09,4.01,3.9,3.8,3.68,4.47,4.51,4.55,4.59,4.64,4.7,4.76,4.84,4.95,5.05,5.17
4.73,4.69,4.66,4.62,4.58,4.53,4.49,4.43,4.36,4.25,4.16,4.06,4.76,4.8,4.84,4.88,4.92,4.97,5.03,5.1,5.2,5.29,5.4
5.03,5,4.96,4.92,4.88,4.84,4.79,4.73,4.66,4.56,4.47,4.36,5.07,5.1,5.14,5.18,5.23,5.27,5.33,5.4,5.51,5.6,5.7
5.33,5.29,5.25,5.21,5.17,5.12,5.07,5,4.92,4.81,4.71,4.59,5.38,5.42,5.46,5.5,5.55,5.6,5.67,5.75,5.86,5.96,6.08
5.64,5.59,5.54,5.49,5.44,5.38,5.32,5.25,5.16,5.02,4.9,4.76,5.69,5.73,5.78,5.84,5.89,5.95,6.03,6.12,6.26,6.38,6.51
5.94,5.88,5.83,5.77,5.71,5.64,5.56,5.48,5.37,5.2,5.06,4.9,6,6.05,6.11,6.18,6.24,6.32,6.41,6.51,6.68,6.82,6.98
6.24,6.18,6.11,6.04,5.97,5.89,5.8,5.7,5.57,5.38,5.21,5.02,6.31,6.38,6.45,6.52,6.6,6.69,6.79,6.92,7.11,7.28,7.47
6.55,6.47,6.39,6.31,6.23,6.13,6.03,5.91,5.76,5.54,5.34,5.12,6.62,6.7,6.78,6.87,6.96,7.06,7.18,7.33,7.56,7.75,7.97
6.85,6.76,6.67,6.58,6.48,6.38,6.26,6.12,5.95,5.69,5.47,5.22,6.94,7.03,7.12,7.22,7.32,7.44,7.58,7.75,8.01,8.23,8.49
