prediction,lower.10.,lower.20.,lower.30.,lower.40.,lower.50.,lower.60.,lower.70.,lower.80.,lower.90.,lower.95.,lower.98.,upper.10.,upper.20.,upper.30.,upper.40.,upper.50.,upper.60.,upper.70.,upper.80.,upper.90.,upper.95.,upper.98.
3.52,3.44,3.35,3.17,3.1,2.92,2.82,2.64,2.55,2.27,1.97,1.82,3.64,3.71,3.76,3.92,4.01,4.17,4.34,4.57,4.9,5.17,5.36
3.82,3.67,3.6,3.52,3.42,3.26,3.16,2.94,2.81,2.48,2.31,1.95,3.89,4.04,4.13,4.28,4.35,4.5,4.61,4.86,5.1,5.36,5.8
4.13,4.04,3.92,3.82,3.73,3.65,3.43,3.23,3.18,2.85,2.6,2.26,4.23,4.34,4.39,4.58,4.72,4.85,4.87,5.2,5.47,5.69,5.98
4.43,4.37,4.2,4.14,3.96,3.87,3.73,3.57,3.44,3.18,2.91,2.56,4.53,4.63,4.72,4.81,4.94,5.03,5.3,5.46,5.75,6,6.16
4.73,4.59,4.47,4.47,4.35,4.2,4.08,3.92,3.76,3.4,3.04,2.82,4.78,4.91,5.07,5.17,5.31,5.39,5.54,5.79,5.98,6.41,6.8
5.03,4.88,4.84,4.78,4.65,4.51,4.37,4.22,4.05,3.79,3.44,3.2,5.1,5.25,5.36,5.47,5.56,5.64,5.84,6.07,6.32,6.73,6.75
5.33,5.27,5.15,5.03,4.91,4.83,4.68,4.55,4.29,4.01,3.86,3.41,5.49,5.52,5.68,5.76,5.87,6.05,6.17,6.29,6.7,6.79,7.23
5.64,5.54,5.44,5.41,5.25,5.12,5,4.73,4.62,4.3,4.14,3.72,5.73,5.85,6,6.09,6.18,6.32,6.4,6.61,6.91,7.14,7.45
5.94,5.86,5.75,5.63,5.53,5.42,5.27,5.1,4.95,4.61,4.31,3.93,6.06,6.15,6.27,6.38,6.49,6.68,6.73,6.94,7.19,7.41,7.85
6.24,6.1,5.97,5.92,5.86,5.74,5.62,5.38,5.25,4.98,4.76,4.5,6.3,6.42,6.51,6.66,6.81,6.93,7.11,7.25,7.49,7.7,7.99
6.54,6.36,6.33,6.2,6.13,5.97,5.82,5.71,5.55,5.16,5.09,4.65,6.62,6.69,6.87,7,7.06,7.17,7.4,7.63,7.94,8.14,8.35
6.85,6.74,6.69,6.52,6.42,6.27,6.11,6.03,5.82,5.47,5.31,5.12,6.95,7.07,7.14,7.3,7.44,7.48,7.66,7.88,8.2,8.39,8.71
