means,lower.10.,lower.20.,lower.30.,lower.40.,lower.50.,lower.60.,lower.70.,lower.80.,lower.90.,lower.95.,lower.98.,upper.10.,upper.20.,upper.30.,upper.40.,upper.50.,upper.60.,upper.70.,upper.80.,upper.90.,upper.95.,upper.98.
3.83,3.81,3.78,3.76,3.73,3.7,3.67,3.64,3.59,3.53,3.47,3.4,3.85,3.88,3.9,3.93,3.95,3.98,4.02,4.06,4.13,4.19,4.26
4.47,4.45,4.44,4.42,4.4,4.38,4.36,4.33,4.29,4.24,4.2,4.15,4.49,4.51,4.52,4.54,4.56,4.59,4.61,4.65,4.7,4.74,4.79
5.28,5.26,5.24,5.23,5.21,5.19,5.16,5.14,5.11,5.06,5.02,4.97,5.29,5.31,5.33,5.35,5.37,5.39,5.41,5.45,5.5,5.54,5.59
6.02,6.01,5.99,5.97,5.95,5.93,5.91,5.89,5.86,5.81,5.77,5.72,6.04,6.06,6.07,6.09,6.11,6.13,6.16,6.19,6.24,6.28,6.33
6.37,6.35,6.33,6.32,6.3,6.28,6.26,6.23,6.2,6.15,6.11,6.06,6.39,6.4,6.42,6.44,6.46,6.48,6.51,6.54,6.59,6.63,6.68
6.13,6.12,6.1,6.08,6.06,6.04,6.02,5.99,5.96,5.91,5.87,5.82,6.15,6.17,6.18,6.2,6.22,6.25,6.27,6.3,6.35,6.4,6.44
5.47,5.45,5.43,5.42,5.4,5.38,5.36,5.33,5.3,5.25,5.21,5.16,5.48,5.5,5.52,5.54,5.56,5.58,5.6,5.64,5.68,5.72,5.77
4.7,4.69,4.67,4.65,4.63,4.61,4.59,4.57,4.53,4.49,4.44,4.39,4.72,4.74,4.76,4.77,4.79,4.82,4.84,4.87,4.92,4.96,5.01
4.13,4.11,4.09,4.08,4.06,4.04,4.01,3.99,3.95,3.9,3.86,3.81,4.15,4.16,4.18,4.2,4.22,4.24,4.27,4.31,4.35,4.4,4.45
3.81,3.79,3.76,3.74,3.71,3.69,3.65,3.62,3.57,3.51,3.45,3.38,3.83,3.86,3.88,3.91,3.93,3.96,4,4.05,4.11,4.17,4.24
3.56,3.51,3.45,3.4,3.34,3.27,3.2,3.12,3.02,2.87,2.73,2.58,3.61,3.66,3.72,3.78,3.84,3.91,3.99,4.1,4.25,4.38,4.54
3.31,3.22,3.13,3.04,2.94,2.84,2.72,2.58,2.41,2.16,1.94,1.68,3.39,3.48,3.58,3.67,3.78,3.89,4.03,4.2,4.45,4.67,4.93
