means,lower.10.,lower.20.,lower.30.,lower.40.,lower.50.,lower.60.,lower.70.,lower.80.,lower.90.,lower.95.,lower.98.,upper.10.,upper.20.,upper.30.,upper.40.,upper.50.,upper.60.,upper.70.,upper.80.,upper.90.,upper.95.,upper.98.
5.22,5.14,5.06,4.98,4.9,4.81,4.7,4.58,4.43,4.21,4.01,3.79,5.3,5.38,5.46,5.54,5.64,5.74,5.86,6.01,6.23,6.43,6.65
5.18,5.11,5.04,4.98,4.9,4.82,4.74,4.63,4.51,4.32,4.15,3.96,5.24,5.31,5.38,5.45,5.53,5.62,5.72,5.85,6.04,6.2,6.39
5.13,5.08,5.02,4.96,4.9,4.84,4.76,4.68,4.57,4.41,4.27,4.11,5.19,5.24,5.3,5.36,5.43,5.5,5.59,5.7,5.86,5.99,6.15
5.09,5.04,4.99,4.94,4.89,4.84,4.77,4.7,4.61,4.47,4.35,4.22,5.13,5.18,5.23,5.28,5.34,5.4,5.48,5.57,5.7,5.82,5.96
5.04,5,4.96,4.91,4.87,4.82,4.76,4.69,4.61,4.49,4.38,4.26,5.09,5.13,5.17,5.22,5.27,5.33,5.39,5.47,5.6,5.7,5.83
5,4.96,4.91,4.87,4.82,4.77,4.72,4.65,4.57,4.45,4.34,4.22,5.04,5.08,5.13,5.18,5.23,5.28,5.35,5.43,5.55,5.66,5.78
4.95,4.91,4.86,4.81,4.76,4.7,4.64,4.57,4.47,4.34,4.22,4.08,5,5.05,5.1,5.15,5.21,5.27,5.34,5.43,5.57,5.69,5.82
4.91,4.85,4.8,4.74,4.68,4.61,4.54,4.45,4.35,4.19,4.05,3.89,4.97,5.02,5.08,5.14,5.21,5.28,5.37,5.47,5.63,5.77,5.93
4.87,4.8,4.73,4.66,4.59,4.51,4.43,4.32,4.2,4.01,3.84,3.65,4.93,5,5.07,5.14,5.22,5.31,5.41,5.54,5.73,5.89,6.08
4.82,4.74,4.66,4.58,4.5,4.41,4.3,4.18,4.03,3.81,3.61,3.39,4.9,4.98,5.06,5.14,5.24,5.34,5.46,5.61,5.83,6.03,6.25
4.78,4.69,4.6,4.5,4.4,4.29,4.17,4.03,3.86,3.6,3.37,3.11,4.87,4.96,5.05,5.15,5.26,5.38,5.52,5.69,5.95,6.18,6.44
4.73,4.63,4.52,4.42,4.3,4.18,4.04,3.88,3.68,3.38,3.12,2.82,4.84,4.94,5.05,5.16,5.29,5.42,5.58,5.78,6.08,6.34,6.64
