prediction,lower.10.,lower.20.,lower.30.,lower.40.,lower.50.,lower.60.,lower.70.,lower.80.,lower.90.,lower.95.,lower.98.,upper.10.,upper.20.,upper.30.,upper.40.,upper.50.,upper.60.,upper.70.,upper.80.,upper.90.,upper.95.,upper.98.
5.22,5.04,4.92,4.78,4.69,4.57,4.44,4.24,3.99,3.72,3.48,3.06,5.28,5.42,5.47,5.73,5.88,6.01,6.15,6.41,6.73,7,7.38
5.18,5.08,4.93,4.85,4.67,4.55,4.36,4.17,4.02,3.68,3.32,2.96,5.31,5.38,5.53,5.63,5.77,5.94,6.09,6.4,6.77,7.03,7.5
5.13,5.06,4.86,4.8,4.6,4.45,4.28,4.18,3.91,3.62,3.23,2.96,5.27,5.33,5.55,5.63,5.7,5.94,6.14,6.3,6.61,7.02,7.07
5.09,4.97,4.84,4.73,4.6,4.44,4.31,4.16,3.83,3.51,3.16,2.81,5.21,5.34,5.5,5.5,5.66,5.84,6.12,6.31,6.54,7.04,7.31
5.04,4.9,4.76,4.7,4.56,4.41,4.25,4.07,3.94,3.6,3.21,3.01,5.11,5.25,5.46,5.55,5.71,5.87,6.07,6.24,6.62,6.87,7.16
5,4.89,4.74,4.61,4.53,4.34,4.17,4.03,3.76,3.4,3.3,2.8,5.1,5.18,5.3,5.5,5.58,5.74,5.98,6.18,6.56,6.79,7.17
4.95,4.87,4.74,4.56,4.42,4.36,4.14,4,3.79,3.42,3.15,2.77,5.11,5.19,5.3,5.44,5.59,5.71,5.91,6.23,6.49,6.69,6.98
4.91,4.8,4.66,4.51,4.48,4.28,4.1,3.86,3.72,3.38,3.13,2.68,5.01,5.1,5.24,5.41,5.56,5.68,5.85,5.99,6.47,6.66,7.2
4.87,4.75,4.7,4.52,4.33,4.21,4.1,3.89,3.69,3.31,2.89,2.61,4.95,5.13,5.26,5.36,5.51,5.64,5.82,6.09,6.44,6.68,6.91
4.82,4.79,4.65,4.48,4.3,4.19,4,3.82,3.62,3.22,2.91,2.7,5.01,5.13,5.21,5.22,5.34,5.6,5.8,5.99,6.36,6.51,7.02
4.78,4.67,4.53,4.36,4.23,4.12,3.95,3.84,3.57,3.28,2.93,2.65,4.93,5.03,5.08,5.27,5.4,5.5,5.76,5.95,6.2,6.69,6.91
4.73,4.6,4.51,4.35,4.25,4.07,3.83,3.74,3.63,3.25,2.98,2.61,4.84,5.01,5.12,5.24,5.36,5.5,5.66,5.91,6.33,6.55,6.92
