means,lower.10.,lower.20.,lower.30.,lower.40.,lower.50.,lower.60.,lower.70.,lower.80.,lower.90.,lower.95.,lower.98.,upper.10.,upper.20.,upper.30.,upper.40.,upper.50.,upper.60.,upper.70.,upper.80.,upper.90.,upper.95.,upper.98.
5.99,5.94,5.9,5.86,5.81,5.76,5.7,5.63,5.55,5.43,5.32,5.2,6.03,6.07,6.12,6.17,6.22,6.27,6.34,6.42,6.55,6.65,6.78
7.43,7.41,7.38,7.34,7.31,7.28,7.24,7.19,7.14,7.05,6.98,6.89,7.46,7.49,7.52,7.56,7.59,7.63,7.68,7.73,7.82,7.89,7.98
8.71,8.69,8.66,8.63,8.6,8.56,8.52,8.48,8.42,8.34,8.27,8.19,8.74,8.77,8.8,8.83,8.87,8.91,8.95,9.01,9.09,9.16,9.24
9.65,9.62,9.59,9.56,9.53,9.49,9.46,9.41,9.36,9.28,9.2,9.12,9.67,9.7,9.73,9.76,9.8,9.83,9.88,9.93,10.02,10.09,10.17
10.08,10.05,10.02,9.99,9.96,9.93,9.89,9.85,9.79,9.71,9.64,9.56,10.11,10.13,10.16,10.19,10.23,10.27,10.31,10.36,10.44,10.51,10.6
10,9.97,9.94,9.91,9.88,9.85,9.81,9.77,9.71,9.63,9.56,9.48,10.03,10.06,10.09,10.12,10.15,10.19,10.23,10.29,10.37,10.44,10.52
9.56,9.53,9.5,9.47,9.44,9.41,9.37,9.32,9.27,9.19,9.12,9.03,9.59,9.61,9.64,9.68,9.71,9.75,9.79,9.85,9.93,10,10.08
8.8,8.77,8.74,8.71,8.68,8.64,8.61,8.56,8.51,8.42,8.35,8.27,8.83,8.86,8.89,8.92,8.95,8.99,9.03,9.09,9.17,9.24,9.33
7.78,7.75,7.72,7.69,7.66,7.62,7.59,7.54,7.48,7.4,7.32,7.24,7.81,7.84,7.87,7.9,7.94,7.98,8.02,8.08,8.16,8.24,8.32
6.62,6.58,6.54,6.49,6.44,6.39,6.34,6.27,6.19,6.06,5.95,5.83,6.66,6.71,6.75,6.8,6.85,6.91,6.97,7.06,7.18,7.29,7.41
5.43,5.35,5.28,5.19,5.11,5.02,4.92,4.8,4.65,4.42,4.23,4.01,5.51,5.59,5.67,5.75,5.84,5.95,6.06,6.21,6.44,6.63,6.85
4.24,4.12,4,3.88,3.75,3.61,3.46,3.28,3.05,2.71,2.42,2.08,4.36,4.47,4.6,4.73,4.86,5.02,5.2,5.43,5.77,6.06,6.4
