means,lower.10.,lower.20.,lower.30.,lower.40.,lower.50.,lower.60.,lower.70.,lower.80.,lower.90.,lower.95.,lower.98.,upper.10.,upper.20.,upper.30.,upper.40.,upper.50.,upper.60.,upper.70.,upper.80.,upper.90.,upper.95.,upper.98.
7.75,7.7,7.66,7.61,7.56,7.51,7.45,7.38,7.29,7.16,7.04,6.91,7.79,7.84,7.89,7.94,7.99,8.05,8.12,8.21,8.34,8.46,8.59
8.88,8.85,8.81,8.78,8.75,8.71,8.67,8.62,8.56,8.47,8.39,8.3,8.91,8.94,8.97,9.01,9.04,9.09,9.13,9.2,9.29,9.36,9.45
9.74,9.71,9.68,9.64,9.61,9.57,9.53,9.49,9.43,9.34,9.26,9.17,9.77,9.8,9.83,9.87,9.9,9.94,9.99,10.05,10.14,10.21,10.3
10.12,10.09,10.06,10.03,10,9.96,9.92,9.87,9.82,9.73,9.65,9.56,10.15,10.19,10.22,10.25,10.29,10.33,10.37,10.43,10.52,10.6,10.68
10.02,9.99,9.96,9.93,9.9,9.86,9.82,9.78,9.72,9.63,9.55,9.47,10.05,10.08,10.12,10.15,10.18,10.22,10.27,10.33,10.42,10.49,10.58
9.59,9.56,9.53,9.5,9.46,9.43,9.39,9.34,9.28,9.2,9.12,9.03,9.62,9.65,9.68,9.72,9.75,9.79,9.84,9.9,9.98,10.06,10.15
8.85,8.82,8.79,8.76,8.72,8.69,8.65,8.6,8.54,8.46,8.38,8.29,8.88,8.91,8.94,8.98,9.01,9.05,9.1,9.16,9.25,9.32,9.41
7.84,7.81,7.78,7.75,7.72,7.68,7.64,7.59,7.53,7.44,7.37,7.28,7.87,7.91,7.94,7.97,8.01,8.05,8.1,8.16,8.24,8.32,8.41
6.64,6.61,6.58,6.54,6.51,6.47,6.43,6.38,6.32,6.23,6.15,6.06,6.67,6.7,6.74,6.77,6.81,6.85,6.9,6.96,7.05,7.13,7.22
5.33,5.28,5.23,5.19,5.14,5.08,5.02,4.95,4.86,4.73,4.62,4.49,5.37,5.42,5.46,5.52,5.57,5.63,5.7,5.79,5.92,6.03,6.17
3.98,3.9,3.82,3.73,3.64,3.54,3.42,3.29,3.13,2.89,2.68,2.44,4.07,4.15,4.24,4.33,4.43,4.55,4.67,4.84,5.08,5.29,5.53
2.64,2.52,2.38,2.25,2.11,1.95,1.78,1.59,1.34,0.96,0.64,0.27,2.77,2.9,3.04,3.18,3.33,3.5,3.7,3.95,4.32,4.64,5.02
