means,lower.10.,lower.20.,lower.30.,lower.40.,lower.50.,lower.60.,lower.70.,lower.80.,lower.90.,lower.95.,lower.98.,upper.10.,upper.20.,upper.30.,upper.40.,upper.50.,upper.60.,upper.70.,upper.80.,upper.90.,upper.95.,upper.98.
9.87,9.76,9.65,9.54,9.42,9.29,9.15,8.98,8.77,8.46,8.18,7.87,9.98,10.09,10.2,10.32,10.45,10.6,10.76,10.98,11.29,11.56,11.88
9.56,9.47,9.38,9.28,9.18,9.07,8.95,8.81,8.63,8.36,8.13,7.86,9.65,9.75,9.84,9.95,10.05,10.18,10.32,10.5,10.76,10.99,11.26
9.25,9.17,9.1,9.02,8.93,8.84,8.74,8.62,8.46,8.24,8.05,7.82,9.33,9.41,9.49,9.57,9.67,9.77,9.89,10.04,10.26,10.46,10.68
8.94,8.88,8.81,8.74,8.67,8.59,8.5,8.4,8.27,8.08,7.92,7.73,9.01,9.07,9.14,9.22,9.29,9.38,9.48,9.61,9.8,9.97,10.16
8.63,8.57,8.51,8.45,8.38,8.31,8.24,8.14,8.03,7.86,7.71,7.54,8.69,8.75,8.81,8.88,8.95,9.03,9.12,9.23,9.4,9.55,9.73
8.32,8.26,8.2,8.14,8.07,8,7.93,7.83,7.72,7.55,7.4,7.23,8.38,8.44,8.5,8.57,8.64,8.72,8.81,8.92,9.09,9.24,9.42
8.01,7.95,7.88,7.81,7.74,7.66,7.57,7.47,7.34,7.15,6.99,6.8,8.08,8.14,8.21,8.28,8.36,8.45,8.55,8.68,8.87,9.04,9.23
7.7,7.62,7.55,7.46,7.38,7.29,7.18,7.06,6.91,6.69,6.5,6.27,7.78,7.86,7.94,8.02,8.11,8.22,8.34,8.49,8.71,8.9,9.13
7.39,7.3,7.21,7.11,7.01,6.9,6.78,6.63,6.45,6.19,5.96,5.69,7.48,7.58,7.67,7.77,7.88,8,8.15,8.33,8.59,8.82,9.09
7.08,6.97,6.86,6.75,6.63,6.5,6.36,6.19,5.98,5.66,5.39,5.08,7.19,7.3,7.41,7.53,7.66,7.8,7.97,8.18,8.5,8.77,9.08
6.77,6.64,6.52,6.38,6.25,6.09,5.93,5.73,5.49,5.12,4.81,4.44,6.9,7.02,7.16,7.29,7.44,7.61,7.81,8.05,8.42,8.73,9.1
6.46,6.32,6.17,6.02,5.86,5.69,5.49,5.27,4.99,4.57,4.21,3.79,6.6,6.75,6.9,7.06,7.23,7.42,7.65,7.93,8.34,8.71,9.13
