prediction,lower.10.,lower.20.,lower.30.,lower.40.,lower.50.,lower.60.,lower.70.,lower.80.,lower.90.,lower.95.,lower.98.,upper.10.,upper.20.,upper.30.,upper.40.,upper.50.,upper.60.,upper.70.,upper.80.,upper.90.,upper.95.,upper.98.
9.87,9.81,9.62,9.33,9.26,8.96,8.7,8.62,8.15,7.78,7.32,6.81,10.08,10.22,10.34,10.52,10.74,10.93,11.12,11.53,12.03,12.36,12.99
9.56,9.41,9.21,9.11,8.9,8.66,8.46,8.16,7.9,7.59,6.99,6.37,9.69,9.9,10.05,10.26,10.38,10.62,10.87,11.15,11.63,12.18,12.71
9.25,9.1,8.8,8.8,8.59,8.41,8.18,7.83,7.55,7.14,6.8,6.31,9.47,9.47,9.77,9.94,10.19,10.36,10.65,11.06,11.57,11.88,12.34
8.94,8.8,8.72,8.36,8.34,8.19,7.8,7.66,7.35,6.82,6.34,5.83,9.18,9.34,9.43,9.62,9.89,10.05,10.35,10.72,11.16,11.51,12.06
8.63,8.44,8.26,8.08,7.97,7.82,7.46,7.41,6.99,6.5,6.14,5.68,8.83,8.95,8.99,9.33,9.53,9.69,10.02,10.33,10.86,11.11,11.52
8.32,8.2,8.03,7.86,7.69,7.38,7.19,6.99,6.62,6.3,5.64,5.6,8.45,8.72,8.81,9.06,9.13,9.41,9.65,10,10.44,10.73,11.24
8.01,7.89,7.73,7.49,7.41,7.13,6.92,6.6,6.35,5.83,5.46,5.05,8.25,8.34,8.44,8.77,8.98,9.06,9.2,9.81,10.28,10.73,11.11
7.7,7.65,7.39,7.22,7.01,6.87,6.72,6.42,6.04,5.58,5.14,4.75,7.93,8.06,8.19,8.43,8.55,8.82,9.15,9.47,9.78,10.09,10.51
7.39,7.25,7.03,6.86,6.68,6.53,6.2,5.98,5.67,5.26,4.78,4.48,7.62,7.75,7.8,8,8.27,8.4,8.67,9.06,9.4,10.17,10.64
7.08,6.98,6.85,6.59,6.33,6.15,6.03,5.66,5.48,5.03,4.57,4.11,7.32,7.48,7.69,7.78,7.97,8.23,8.56,8.69,9.39,9.64,9.83
6.77,6.65,6.54,6.27,6.07,5.89,5.61,5.51,5.09,4.61,4.39,3.84,7,7.15,7.26,7.4,7.69,7.88,8.14,8.34,8.83,9.38,9.88
6.46,6.25,6.14,5.94,5.71,5.65,5.32,5.17,4.8,4.22,3.85,3.52,6.54,6.79,6.89,7.12,7.35,7.61,7.79,8.14,8.76,8.89,9.68
