means,lower.10.,lower.20.,lower.30.,lower.40.,lower.50.,lower.60.,lower.70.,lower.80.,lower.90.,lower.95.,lower.98.,upper.10.,upper.20.,upper.30.,upper.40.,upper.50.,upper.60.,upper.70.,upper.80.,upper.90.,upper.95.,upper.98.
7.21,7.18,7.14,7.11,7.07,7.02,6.98,6.92,6.85,6.75,6.66,6.55,7.25,7.29,7.32,7.36,7.41,7.45,7.51,7.58,7.68,7.77,7.88
9.36,9.33,9.29,9.26,9.22,9.18,9.14,9.09,9.02,8.93,8.85,8.75,9.39,9.42,9.46,9.5,9.54,9.58,9.63,9.69,9.79,9.87,9.97
9.73,9.71,9.68,9.65,9.61,9.58,9.54,9.5,9.44,9.36,9.28,9.2,9.76,9.79,9.82,9.86,9.89,9.93,9.97,10.03,10.11,10.19,10.27
10.67,10.64,10.61,10.58,10.55,10.52,10.48,10.43,10.37,10.29,10.21,10.13,10.7,10.73,10.76,10.8,10.83,10.87,10.92,10.98,11.06,11.14,11.22
12.29,12.25,12.22,12.19,12.15,12.11,12.07,12.02,11.96,11.86,11.78,11.69,12.32,12.35,12.38,12.42,12.46,12.5,12.55,12.62,12.71,12.79,12.88
11.86,11.83,11.79,11.76,11.72,11.68,11.64,11.59,11.53,11.44,11.35,11.26,11.89,11.92,11.96,11.99,12.03,12.08,12.13,12.19,12.28,12.36,12.46
10.72,10.69,10.66,10.63,10.6,10.56,10.52,10.48,10.42,10.33,10.26,10.17,10.75,10.78,10.81,10.84,10.88,10.92,10.96,11.02,11.11,11.18,11.27
9.4,9.37,9.34,9.31,9.28,9.24,9.21,9.16,9.1,9.02,8.95,8.86,9.43,9.46,9.49,9.52,9.55,9.59,9.64,9.69,9.78,9.85,9.93
9.17,9.13,9.1,9.07,9.03,8.99,8.95,8.9,8.83,8.74,8.65,8.56,9.2,9.23,9.27,9.3,9.34,9.39,9.44,9.5,9.6,9.68,9.78
10.76,10.73,10.69,10.65,10.61,10.57,10.52,10.47,10.4,10.29,10.2,10.1,10.8,10.83,10.87,10.91,10.95,11,11.06,11.13,11.23,11.32,11.42
12.56,12.39,12.22,12.03,11.84,11.64,11.41,11.14,10.8,10.3,9.87,9.37,12.74,12.91,13.09,13.28,13.49,13.72,13.99,14.33,14.82,15.26,15.76
14.37,14.04,13.7,13.36,12.99,12.6,12.16,11.65,11.01,10.06,9.23,8.27,14.7,15.03,15.38,15.74,16.13,16.57,17.08,17.72,18.68,19.5,20.46
