means,lower.10.,lower.20.,lower.30.,lower.40.,lower.50.,lower.60.,lower.70.,lower.80.,lower.90.,lower.95.,lower.98.,upper.10.,upper.20.,upper.30.,upper.40.,upper.50.,upper.60.,upper.70.,upper.80.,upper.90.,upper.95.,upper.98.
9.34,9.23,9.12,9,8.88,8.75,8.61,8.44,8.22,7.91,7.63,7.31,9.45,9.56,9.67,9.79,9.92,10.07,10.24,10.45,10.77,11.04,11.36
9.51,9.42,9.32,9.23,9.12,9.01,8.89,8.75,8.57,8.3,8.07,7.8,9.6,9.7,9.79,9.9,10.01,10.13,10.27,10.46,10.72,10.96,11.23
9.68,9.61,9.53,9.45,9.36,9.27,9.16,9.04,8.89,8.66,8.47,8.24,9.76,9.84,9.92,10.01,10.1,10.21,10.33,10.48,10.7,10.9,11.13
9.86,9.79,9.72,9.65,9.58,9.5,9.41,9.31,9.18,8.99,8.82,8.63,9.92,9.99,10.06,10.13,10.21,10.3,10.4,10.53,10.73,10.89,11.09
10.03,9.97,9.91,9.85,9.78,9.71,9.63,9.54,9.42,9.25,9.1,8.93,10.09,10.15,10.21,10.28,10.35,10.43,10.52,10.64,10.81,10.96,11.14
10.2,10.14,10.08,10.02,9.96,9.88,9.8,9.71,9.6,9.42,9.27,9.1,10.26,10.32,10.39,10.45,10.52,10.6,10.7,10.81,10.99,11.13,11.31
10.38,10.31,10.24,10.17,10.1,10.02,9.93,9.83,9.7,9.51,9.34,9.15,10.44,10.51,10.58,10.65,10.73,10.82,10.92,11.05,11.25,11.41,11.61
10.55,10.47,10.39,10.31,10.23,10.13,10.03,9.91,9.76,9.53,9.34,9.11,10.63,10.71,10.79,10.88,10.97,11.07,11.19,11.35,11.57,11.77,11.99
10.72,10.63,10.54,10.44,10.34,10.23,10.1,9.96,9.78,9.51,9.28,9.01,10.82,10.91,11.01,11.11,11.22,11.35,11.49,11.67,11.94,12.17,12.44
10.9,10.79,10.68,10.56,10.44,10.31,10.17,10,9.78,9.47,9.19,8.88,11.01,11.12,11.23,11.35,11.48,11.63,11.8,12.01,12.33,12.6,12.92
11.07,10.94,10.82,10.68,10.54,10.39,10.22,10.02,9.78,9.41,9.09,8.72,11.2,11.33,11.46,11.6,11.75,11.92,12.12,12.37,12.73,13.05,13.42
11.24,11.1,10.95,10.8,10.64,10.46,10.27,10.05,9.76,9.34,8.98,8.55,11.39,11.54,11.69,11.85,12.03,12.22,12.44,12.73,13.15,13.51,13.94
