means,lower.10.,lower.20.,lower.30.,lower.40.,lower.50.,lower.60.,lower.70.,lower.80.,lower.90.,lower.95.,lower.98.,upper.10.,upper.20.,upper.30.,upper.40.,upper.50.,upper.60.,upper.70.,upper.80.,upper.90.,upper.95.,upper.98.
10.78,10.69,10.59,10.5,10.39,10.28,10.16,10.02,9.84,9.57,9.34,9.07,10.87,10.97,11.06,11.16,11.28,11.4,11.54,11.72,11.99,12.22,12.49
10.64,10.56,10.48,10.4,10.31,10.22,10.11,9.99,9.84,9.61,9.41,9.19,10.71,10.79,10.88,10.96,11.06,11.16,11.28,11.43,11.66,11.86,12.08
10.49,10.42,10.36,10.29,10.22,10.14,10.05,9.95,9.82,9.63,9.46,9.27,10.56,10.62,10.69,10.77,10.84,10.93,11.03,11.16,11.35,11.52,11.71
10.35,10.29,10.23,10.17,10.11,10.05,9.97,9.88,9.77,9.61,9.47,9.31,10.4,10.46,10.52,10.58,10.65,10.72,10.81,10.92,11.08,11.22,11.38
10.2,10.15,10.1,10.05,9.99,9.93,9.86,9.79,9.69,9.54,9.42,9.27,10.25,10.3,10.36,10.41,10.47,10.54,10.62,10.72,10.86,10.99,11.14
10.06,10.01,9.96,9.9,9.85,9.79,9.72,9.64,9.54,9.4,9.27,9.12,10.11,10.16,10.21,10.27,10.33,10.4,10.47,10.57,10.72,10.84,10.99
9.91,9.86,9.8,9.74,9.68,9.61,9.54,9.45,9.34,9.18,9.04,8.88,9.97,10.03,10.08,10.15,10.21,10.29,10.38,10.48,10.65,10.79,10.95
9.77,9.7,9.64,9.57,9.49,9.42,9.33,9.23,9.1,8.91,8.74,8.55,9.83,9.9,9.97,10.04,10.12,10.21,10.31,10.44,10.63,10.8,10.99
9.62,9.55,9.47,9.38,9.3,9.2,9.1,8.98,8.83,8.6,8.4,8.17,9.7,9.78,9.86,9.95,10.04,10.15,10.27,10.42,10.65,10.85,11.07
9.48,9.39,9.29,9.2,9.09,8.98,8.86,8.72,8.54,8.27,8.04,7.77,9.57,9.67,9.76,9.86,9.98,10.1,10.24,10.42,10.69,10.92,11.19
9.34,9.23,9.12,9.01,8.89,8.76,8.62,8.45,8.24,7.93,7.66,7.35,9.44,9.55,9.66,9.78,9.91,10.05,10.22,10.43,10.74,11.01,11.32
9.19,9.07,8.94,8.81,8.68,8.53,8.37,8.18,7.94,7.58,7.27,6.92,9.31,9.44,9.57,9.7,9.85,10.01,10.2,10.44,10.8,11.11,11.47
