prediction,lower.10.,lower.20.,lower.30.,lower.40.,lower.50.,lower.60.,lower.70.,lower.80.,lower.90.,lower.95.,lower.98.,upper.10.,upper.20.,upper.30.,upper.40.,upper.50.,upper.60.,upper.70.,upper.80.,upper.90.,upper.95.,upper.98.
10.78,10.65,10.52,10.3,10.16,10.01,9.85,9.61,9.33,9.03,8.62,8.29,10.95,11.06,11.19,11.35,11.49,11.69,11.94,12.25,12.57,12.99,13.33
10.63,10.48,10.34,10.25,10.07,9.89,9.7,9.48,9.16,8.75,8.45,8.22,10.78,10.92,11.09,11.2,11.45,11.56,11.74,12.05,12.54,12.62,13.01
10.49,10.37,10.18,10.04,9.91,9.8,9.55,9.36,9.11,8.73,8.26,7.75,10.63,10.7,10.93,11.04,11.28,11.48,11.56,11.85,12.35,12.62,13.09
10.35,10.14,10.05,9.95,9.75,9.51,9.34,9.25,9.04,8.52,8.21,7.7,10.43,10.64,10.79,10.91,11.06,11.28,11.53,11.68,12.17,12.44,13.11
10.2,10.09,9.98,9.76,9.6,9.48,9.24,9.02,8.82,8.43,7.97,7.77,10.36,10.45,10.62,10.8,10.97,11.11,11.37,11.67,12.11,12.44,12.7
10.06,9.9,9.74,9.67,9.49,9.33,9.19,8.92,8.73,8.2,7.84,7.49,10.21,10.31,10.5,10.59,10.77,11.04,11.26,11.5,11.87,12.27,12.82
9.92,9.75,9.7,9.49,9.28,9.17,8.94,8.81,8.48,8,7.59,7.41,9.97,10.22,10.36,10.57,10.68,10.91,11.12,11.28,11.7,12.14,12.42
9.78,9.64,9.5,9.28,9.22,9.1,8.84,8.67,8.34,8.01,7.52,7.08,9.94,10.07,10.14,10.31,10.63,10.69,10.89,11.18,11.56,12.02,12.1
9.63,9.42,9.31,9.16,9.04,8.85,8.71,8.44,8.24,7.87,7.4,7.1,9.66,9.92,10.03,10.19,10.35,10.66,10.95,11.07,11.51,11.71,12.01
9.49,9.32,9.17,9.03,8.96,8.62,8.63,8.41,7.91,7.69,7.4,6.85,9.55,9.77,9.92,9.99,10.15,10.51,10.74,10.84,11.35,11.65,12.22
9.35,9.17,9.07,8.91,8.79,8.63,8.44,8.24,7.91,7.59,7.05,6.96,9.45,9.67,9.73,9.93,10.14,10.32,10.55,10.79,11.03,11.49,11.86
9.2,9.04,8.85,8.8,8.71,8.48,8.18,8.15,7.75,7.41,7.03,6.62,9.34,9.47,9.64,9.91,10.01,10.1,10.44,10.62,10.92,11.37,11.89
