means,lower.10.,lower.20.,lower.30.,lower.40.,lower.50.,lower.60.,lower.70.,lower.80.,lower.90.,lower.95.,lower.98.,upper.10.,upper.20.,upper.30.,upper.40.,upper.50.,upper.60.,upper.70.,upper.80.,upper.90.,upper.95.,upper.98.
11.65,11.54,11.43,11.32,11.2,11.07,10.93,10.76,10.56,10.25,9.98,9.66,11.75,11.86,11.98,12.09,12.22,12.36,12.53,12.74,13.05,13.32,13.63
11.17,11.08,10.99,10.9,10.8,10.69,10.57,10.43,10.25,9.99,9.76,9.49,11.27,11.36,11.45,11.55,11.66,11.78,11.92,12.1,12.36,12.59,12.86
10.7,10.63,10.55,10.47,10.38,10.29,10.19,10.07,9.92,9.7,9.51,9.29,10.78,10.86,10.94,11.02,11.11,11.21,11.33,11.48,11.7,11.89,12.12
10.23,10.16,10.1,10.03,9.96,9.88,9.79,9.69,9.57,9.38,9.22,9.03,10.29,10.36,10.43,10.5,10.58,10.66,10.77,10.89,11.08,11.24,11.43
9.76,9.7,9.64,9.58,9.51,9.44,9.37,9.27,9.16,8.99,8.84,8.67,9.82,9.87,9.94,10,10.07,10.15,10.24,10.35,10.52,10.67,10.84
9.28,9.23,9.17,9.1,9.04,8.97,8.89,8.8,8.69,8.52,8.37,8.2,9.34,9.4,9.46,9.53,9.6,9.68,9.77,9.88,10.05,10.2,10.37
8.81,8.75,8.68,8.61,8.54,8.46,8.38,8.28,8.15,7.96,7.8,7.61,8.88,8.94,9.01,9.08,9.16,9.25,9.35,9.47,9.66,9.83,10.02
8.34,8.26,8.18,8.1,8.02,7.93,7.83,7.71,7.56,7.34,7.15,6.92,8.42,8.49,8.57,8.66,8.75,8.85,8.97,9.12,9.34,9.53,9.75
7.87,7.78,7.68,7.59,7.49,7.38,7.26,7.12,6.94,6.68,6.45,6.18,7.96,8.05,8.14,8.25,8.35,8.47,8.62,8.79,9.06,9.28,9.55
7.39,7.29,7.18,7.07,6.95,6.82,6.68,6.51,6.3,5.99,5.72,5.41,7.5,7.61,7.72,7.84,7.97,8.11,8.28,8.49,8.8,9.06,9.38
6.92,6.8,6.67,6.54,6.4,6.25,6.09,5.89,5.65,5.29,4.98,4.62,7.05,7.17,7.3,7.44,7.59,7.75,7.95,8.19,8.55,8.86,9.23
6.45,6.31,6.16,6.01,5.85,5.68,5.49,5.27,4.99,4.58,4.22,3.81,6.59,6.74,6.89,7.04,7.21,7.4,7.62,7.9,8.31,8.67,9.09
