prediction,lower.10.,lower.20.,lower.30.,lower.40.,lower.50.,lower.60.,lower.70.,lower.80.,lower.90.,lower.95.,lower.98.,upper.10.,upper.20.,upper.30.,upper.40.,upper.50.,upper.60.,upper.70.,upper.80.,upper.90.,upper.95.,upper.98.
11.64,11.39,11.32,11.16,10.91,10.63,10.57,10.36,10.04,9.65,9.29,8.56,11.7,11.95,12.15,12.33,12.42,12.67,13.05,13.46,13.65,14.29,14.59
11.17,11.02,10.91,10.68,10.52,10.37,10.1,9.83,9.54,9.05,8.88,8.09,11.32,11.55,11.79,11.82,12.07,12.36,12.55,12.74,13.33,14.01,14.32
10.7,10.46,10.44,10.16,10.01,9.97,9.66,9.36,9.01,8.72,8.08,7.84,10.82,11.02,11.2,11.34,11.53,11.86,12.06,12.27,12.85,13.31,13.63
10.23,10.07,9.88,9.72,9.59,9.39,9.03,8.87,8.57,7.99,7.64,7.33,10.37,10.47,10.71,10.89,11.21,11.32,11.52,11.92,12.19,12.6,13.27
9.76,9.49,9.56,9.22,9.05,8.87,8.77,8.5,8.2,7.63,7.15,7,9.82,10.11,10.22,10.39,10.66,10.94,11.06,11.39,11.85,12.18,12.45
9.28,9.03,8.96,8.73,8.55,8.39,8.19,7.9,7.65,7.11,6.84,6.23,9.36,9.51,9.64,9.97,10.21,10.48,10.65,10.9,11.34,11.85,12.25
8.81,8.66,8.41,8.31,8.04,7.84,7.63,7.43,7.17,6.65,6.15,5.8,9,9.14,9.3,9.39,9.6,9.79,10.15,10.55,10.88,11.49,11.89
8.34,8.24,8.08,7.81,7.66,7.54,7.33,6.95,6.74,6.14,5.82,5.38,8.59,8.71,8.91,8.97,9.27,9.45,9.58,9.96,10.4,10.83,11.29
7.87,7.72,7.51,7.31,7.09,6.98,6.73,6.56,6.12,5.62,5.29,4.93,8.03,8.21,8.34,8.53,8.71,8.9,9.24,9.61,9.91,10.56,11.25
7.4,7.19,7.11,6.88,6.6,6.52,6.26,6.24,5.74,5.22,4.81,4.45,7.53,7.71,7.92,7.99,8.3,8.35,8.67,9.04,9.38,10.06,10.52
6.92,6.75,6.69,6.38,6.29,6.11,5.75,5.61,5.24,4.89,4.34,4,7.09,7.34,7.39,7.58,7.77,8.09,8.16,8.54,8.97,9.41,10.09
6.45,6.24,6.15,5.91,5.85,5.57,5.41,5,4.78,4.37,3.8,3.36,6.55,6.75,6.92,7.2,7.31,7.52,7.71,8.11,8.63,8.96,9.45
