prediction,lower.10.,lower.20.,lower.30.,lower.40.,lower.50.,lower.60.,lower.70.,lower.80.,lower.90.,lower.95.,lower.98.,upper.10.,upper.20.,upper.30.,upper.40.,upper.50.,upper.60.,upper.70.,upper.80.,upper.90.,upper.95.,upper.98.
1.71,1.69,1.69,1.66,1.65,1.64,1.62,1.6,1.57,1.53,1.49,1.45,1.73,1.74,1.75,1.77,1.79,1.82,1.84,1.86,1.91,1.94,1.98
1.66,1.64,1.63,1.61,1.59,1.59,1.57,1.54,1.51,1.47,1.45,1.4,1.67,1.69,1.71,1.72,1.74,1.75,1.78,1.8,1.85,1.88,1.92
1.61,1.6,1.58,1.57,1.56,1.54,1.51,1.49,1.46,1.42,1.38,1.37,1.63,1.63,1.66,1.67,1.69,1.7,1.71,1.74,1.8,1.84,1.87
1.56,1.54,1.53,1.52,1.49,1.48,1.47,1.45,1.41,1.37,1.34,1.29,1.57,1.58,1.6,1.61,1.63,1.65,1.67,1.7,1.75,1.77,1.84
1.5,1.49,1.47,1.46,1.44,1.43,1.4,1.39,1.36,1.32,1.28,1.25,1.52,1.53,1.55,1.56,1.58,1.6,1.62,1.66,1.69,1.73,1.77
1.45,1.44,1.43,1.41,1.4,1.37,1.35,1.34,1.3,1.26,1.23,1.21,1.47,1.48,1.5,1.52,1.53,1.55,1.56,1.6,1.65,1.66,1.68
1.4,1.39,1.38,1.36,1.35,1.32,1.31,1.28,1.25,1.21,1.17,1.15,1.41,1.43,1.45,1.46,1.47,1.49,1.51,1.54,1.59,1.62,1.67
1.35,1.33,1.32,1.3,1.29,1.28,1.26,1.22,1.2,1.16,1.13,1.07,1.36,1.37,1.39,1.41,1.42,1.44,1.47,1.5,1.53,1.55,1.62
1.3,1.28,1.27,1.25,1.24,1.22,1.21,1.19,1.16,1.12,1.06,1.02,1.31,1.33,1.35,1.36,1.37,1.39,1.42,1.43,1.49,1.5,1.57
1.25,1.23,1.22,1.2,1.18,1.16,1.16,1.13,1.1,1.06,1.02,0.98,1.26,1.28,1.3,1.31,1.31,1.35,1.36,1.38,1.44,1.47,1.5
1.19,1.18,1.17,1.15,1.13,1.12,1.09,1.08,1.04,1.01,0.97,0.93,1.21,1.23,1.24,1.25,1.27,1.28,1.32,1.33,1.37,1.42,1.45
1.14,1.13,1.12,1.1,1.08,1.07,1.04,1.02,0.99,0.95,0.9,0.87,1.16,1.17,1.19,1.2,1.23,1.23,1.26,1.29,1.34,1.34,1.39
