year,month,day,data,median,LB,UB
2024,10,26,2.163760257,2.163760257,2.163760257,2.163760257
2024,11,2,2.25252360140498,2.02470847021308,1.07100773339949,2.96409845742949
2024,11,9,2.17728352535069,2.11689433669795,1.20569833646609,3.03094424680042
2024,11,16,2.24384260883631,2.17708241263651,1.29929708909796,3.11218946876812
2024,11,23,2.29125573385731,2.16747577091986,1.2666203221695,3.20428919572135
2024,11,30,1.64767350364713,2.26474029783578,1.20384571839528,3.30561084060307
2024,12,7,2.8567903800716,2.71379493891218,1.66909808019654,3.66738284676428
2024,12,14,3.14146515414892,2.8976916912996,1.9317391476459,3.79893962205975
2024,12,21,2.75928815201516,2.95754999332005,2.02717484230221,3.87630739318483
2024,12,28,3.06642478426563,3.00667351345767,2.0508875425107,4.06556277711447
2025,1,4,3.45681875297855,3.03345477407497,2.0431490790552,4.33615656845063
2025,1,11,3.21358505272292,3.06627449596112,2.08160552444715,4.69808070682784
